times_s,curvature_invm,speed_mps
0.93,-0.007073400336545722,9.392151290193203
0.9400000000000001,-0.006994719451040817,9.400727703318926
0.9500000000000001,-0.006906206416453496,9.403680736777407
0.96,-0.006817693381231789,9.406633769841129
0.97,-0.006729180345100602,9.409586802904858
0.98,-0.006766132441346062,9.421394871517972
0.99,-0.0068030845376394955,9.433202940696939
1.0,-0.006840036633932881,9.44501100894457
1.01,-0.006856615471405308,9.457226352958466
1.02,-0.006873194309710392,9.469441697088413
1.03,-0.0068897731473334155,9.48165704121837
1.04,-0.006906351984729149,9.493872384882707
1.05,-0.006922253644700436,9.505872893060632
1.06,-0.006938155304584947,9.517873401247149
1.07,-0.0069540569649241355,9.529873909433656
1.08,-0.006965118742647025,9.541962215084977
1.09,-0.006976180521056444,9.554050521226866
1.1,-0.0069872422999204915,9.566138826903053
1.11,-0.006996419581068344,9.578952226515272
1.12,-0.007005596862411508,9.591765626615691
1.1300000000000001,-0.007014774143527293,9.604579026716122
1.1400000000000001,-0.0070239514237336,9.6173924268166
1.1500000000000001,-0.0070609100972158475,9.629477114677885
1.16,-0.007097868770691659,9.641561802309903
1.17,-0.007134827443940224,9.653646489941966
1.18,-0.00716259835546682,9.664885253968524
1.19,-0.007190369267380197,9.676124018807338
1.2,-0.007218140178611498,9.687362783180511
1.21,-0.007176795522063249,9.6934593045748
1.22,-0.007135450864482698,9.69955582631472
1.23,-0.007094106207584274,9.705652348054619
1.24,-0.007052761551368036,9.71174887072585
1.25,-0.0070250379284984175,9.724097713138109
1.26,-0.006997314304565389,9.73644655567479
1.27,-0.00696959068108716,9.74879539821151
1.28,-0.007035540010581284,9.763737031268807
1.29,-0.007101489339701211,9.778678664853512
1.3,-0.007167438668593892,9.793620297972602
1.31,-0.007219696326961492,9.805353772700535
1.32,-0.007271953984134786,9.81708724711434
1.33,-0.007324211641990294,9.828820721528194
1.34,-0.007376469298708875,9.840554196407703
1.35,-0.0074183865691089,9.852648874743824
1.36,-0.007460303839126081,9.864743552313632
1.37,-0.007502221109597966,9.876838230349062
1.3800000000000001,-0.007499050255382144,9.891140634755782
1.3900000000000001,-0.007495879400963492,9.905443039356209
1.4000000000000001,-0.007492708546772365,9.91974544395668
1.41,-0.007486320071473008,9.933874721306188
1.42,-0.007479931596131775,9.94800399807766
1.43,-0.007473543121017712,9.962133275780412
1.44,-0.007467154646131051,9.976262553483199
1.45,-0.007402277351145617,9.987653464668657
1.46,-0.0073374000558558035,9.999044375473353
1.47,-0.007272522760338564,10.01043528627808
1.48,-0.007300935238222948,10.02242623897941
1.49,-0.007329347716243581,10.03441719207543
1.5,-0.007357760194264305,10.04640814517148
1.51,-0.007433951340567507,10.042127122251292
1.52,-0.007510142486240691,10.037846099508258
1.53,-0.0075863336321412385,10.033565076299562
1.54,-0.007662524778496532,10.029284053556523
1.55,-0.007607484446534637,10.038189473125323
1.56,-0.007552444115461503,10.047094893010874
1.57,-0.007497403783478882,10.056000311965091
1.58,-0.007419928243217253,10.062353814143952
1.59,-0.0073424527044673145,10.068707316596468
1.6,-0.007264977165262553,10.075060819048966
1.61,-0.007177192496509861,10.082310292780178
1.62,-0.007089407826749244,10.08955976721827
1.6300000000000001,-0.007001623156306433,10.096809241656342
1.6400000000000001,-0.006913838487000544,10.104058716560088
1.6500000000000001,-0.006967745071300238,10.115133939899604
1.6600000000000001,-0.007021651655256144,10.12620916353474
1.67,-0.007075558238302611,10.137284387169894
1.68,-0.007089307477612295,10.147790849171882
1.69,-0.007103056716963372,10.158297311634172
1.7,-0.00711680595608715,10.16880377363083
1.71,-0.007142577256840056,10.180570521426546
1.72,-0.007168348557073608,10.192337268984408
1.73,-0.00719411985821662,10.204104016542237
1.74,-0.007219891158677487,10.215870764100048
1.75,-0.007253347786070696,10.21659569218893
1.76,-0.007286804413687562,10.21732062028593
1.77,-0.007320261041077051,10.218045548382927
1.78,-0.007347572721810591,10.220399299745358
1.79,-0.007374884402949554,10.222753052553026
1.8,-0.007402196084088525,10.22510680489503
1.81,-0.007392974229921552,10.23529961671205
1.82,-0.0073837523760744385,10.245492428605848
1.83,-0.007374530522000016,10.255685240499654
1.84,-0.007365308668380469,10.265878052859152
1.85,-0.0073756984132494,10.276901626914322
1.86,-0.007386088158742299,10.287925201323375
1.87,-0.007396477903553027,10.298948775732397
1.8800000000000001,-0.007372271705134632,10.30638647921588
1.8900000000000001,-0.007348065506731769,10.313824181936322
1.9000000000000001,-0.007323859308101478,10.321261885122432
1.9100000000000001,-0.007360102793902892,10.328694687400535
1.92,-0.007396346279109878,10.336127490173263
1.93,-0.007432589765681101,10.343560292480309
1.94,-0.007468833251797558,10.35099309478734
1.95,-0.007413042222913692,10.352120399066067
1.96,-0.007357251193781656,10.353247703323241
1.97,-0.0073014601648769975,10.354375007580414
